url,experience,work_format,salary,employment_type,skills
https://hh.ru/vacancy/119249439?query=ML&hhtmFrom=vacancy_search_list,3–6 лет,Формат работы: удалённо или гибрид,Уровень дохода не указан,Полная занятость,"Бизнес-анализ, SQL, Разработка бизнес-требований, Реинжиниринг бизнес-процессов, Анализ требований, Автоматизация бизнес-процессов, Постановка задач разработчикам, Продуктовые метрики, Бухгалтерский учет, BPML, ERP"
https://hh.ru/vacancy/117997535?query=ML&hhtmFrom=vacancy_search_list,более 6 лет,Формат работы: удалённо,от 220 000 до 330 000 ₽ за месяц до вычета налогов,Полная занятостьВозможно временное оформление,"Big Data, pandas, Математическая статистика, SQL, Git, ETL, Hadoop, Java, Python, Groovy, Atlassian Jira, Atlassian Confluence, Английский — B2 — Средне-продвинутый"
https://hh.ru/vacancy/120188724?query=ML&hhtmFrom=vacancy_search_list,1–3 года,,Уровень дохода не указан,Полная занятость,"Python, Linux, Astra, MLflow, Neptune, Docker, Kubernetes, Docker-compose, CI/CD, Gitlab, Ansible, Terraform, DevOps, ML, ELK, Grafana, Git"
https://hh.ru/vacancy/119853483?query=ML&hhtmFrom=vacancy_search_list,3–6 лет,Формат работы: гибрид,Уровень дохода не указан,Полная занятость,"ML, AI, Product Management, Data Management"
https://hh.ru/vacancy/120210668?query=ML&hhtmFrom=vacancy_search_list,3–6 лет,Формат работы: на месте работодателя,Уровень дохода не указан,Полная занятость,"Git, Python, TensorFlow, OpenCV, PyTorch, Linux"
https://hh.ru/vacancy/119400658?query=ML&hhtmFrom=vacancy_search_list,3–6 лет,Формат работы: на месте работодателя,Уровень дохода не указан,Полная занятость,"Математическая статистика, Статистический анализ, Анализ данных, Классическое машинное обучение, Machine Learning, Data Science, Data Analysis, Нейронные сети, Python, TensorFlow, PyTorch, SciPy, Matplotlib, Numpy, pandas, Scikit-learn, Deep Learning, Английский — B1 — Средний"
https://hh.ru/vacancy/119400658?query=ML&hhtmFrom=vacancy_search_list,3–6 лет,Формат работы: на месте работодателя,Уровень дохода не указан,Полная занятость,"Математическая статистика, Статистический анализ, Анализ данных, Классическое машинное обучение, Machine Learning, Data Science, Data Analysis, Нейронные сети, Python, TensorFlow, PyTorch, SciPy, Matplotlib, Numpy, pandas, Scikit-learn, Deep Learning, Английский — B1 — Средний"
https://hh.ru/vacancy/119272604?query=ML&hhtmFrom=vacancy_search_list,3–6 лет,Формат работы: удалённо,от 60 000 до 150 000 ₽ за месяц на руки,Полная занятость,
https://hh.ru/vacancy/119183093?query=ML&hhtmFrom=vacancy_search_list,3–6 лет,Формат работы: на месте работодателя или гибрид,Уровень дохода не указан,Полная занятость,"LLM, NLP, RAG"
https://hh.ru/vacancy/119506955?query=ML&hhtmFrom=vacancy_search_list,3–6 лет,Формат работы: удалённо,от 150 000 ₽ за месяц на руки,Полная занятость,"Python, VueJS, PHP, Математическая статистика, PyTorch"
https://hh.ru/vacancy/116746207?query=ML&hhtmFrom=vacancy_search_list,3–6 лет,,Уровень дохода не указан,Полная занятость,
https://hh.ru/vacancy/119179098?query=ML&hhtmFrom=vacancy_search_list,3–6 лет,"Формат работы: на месте работодателя, удалённо или гибрид",Уровень дохода не указан,Полная занятость,
https://hh.ru/vacancy/120131828?query=ML&hhtmFrom=vacancy_search_list,1–3 года,,Уровень дохода не указан,,
https://hh.ru/vacancy/117639854?query=ML&hhtmFrom=vacancy_search_list,3–6 лет,"Формат работы: на месте работодателя, удалённо или гибрид",Уровень дохода не указан,Полная занятость,"Python, Linux, ML, DL, PyTorch"
https://hh.ru/vacancy/120103758?query=ML&hhtmFrom=vacancy_search_list,3–6 лет,Формат работы: удалённо или гибрид,Уровень дохода не указан,Полная занятость,
https://hh.ru/vacancy/119389685?query=ML&hhtmFrom=vacancy_search_list,3–6 лет,Формат работы: удалённо или гибрид,Уровень дохода не указан,Полная занятость,
https://hh.ru/vacancy/120063798?query=ML&hhtmFrom=vacancy_search_list,3–6 лет,Формат работы: гибрид,Уровень дохода не указан,Полная занятость,
https://hh.ru/vacancy/120161404?query=ML&hhtmFrom=vacancy_search_list,3–6 лет,Формат работы: удалённо или гибрид,Уровень дохода не указан,Полная занятость,"ORACLE, PostgreSQL, Python, pandas, SQL, Grafana, Zabbix"
https://hh.ru/vacancy/120151172?query=ML&hhtmFrom=vacancy_search_list,3–6 лет,Формат работы: на месте работодателя или гибрид,Уровень дохода не указан,Полная занятость,"Классическое машинное обучение, Python, SQL, Алгоритмы и структуры данных, Управление командой"
https://hh.ru/vacancy/119118683?query=ML&hhtmFrom=vacancy_search_list,3–6 лет,Формат работы: удалённо или гибрид,Уровень дохода не указан,Полная занятость,"Python, PyTorch, TensorFlow, SQL"
https://hh.ru/vacancy/120046007?query=ML&hhtmFrom=vacancy_search_list,1–3 года,Формат работы: на месте работодателя,Уровень дохода не указан,Полная занятость,"DevOps, Python, MS SQL"
https://hh.ru/vacancy/120041059?query=ML&hhtmFrom=vacancy_search_list,3–6 лет,Формат работы: удалённо,Уровень дохода не указан,Полная занятость,
https://hh.ru/vacancy/120041060?query=ML&hhtmFrom=vacancy_search_list,3–6 лет,Формат работы: удалённо,Уровень дохода не указан,Полная занятость,
https://hh.ru/vacancy/120020650?query=ML&hhtmFrom=vacancy_search_list,1–3 года,Формат работы: на месте работодателя или удалённо,Уровень дохода не указан,Полная занятость,"Docker, MLflow, Apache Airflow, Jenkins, OpenCV, Computer Vision, Визуализация данных, Numpy, TensorFlow, PyTorch, Классическое машинное обучение, Deep Learning, Research"
https://hh.ru/vacancy/120009878?query=ML&hhtmFrom=vacancy_search_list,1–3 года,,Уровень дохода не указан,Полная занятость,
https://hh.ru/vacancy/119005871?query=ML&hhtmFrom=vacancy_search_list,более 6 лет,Формат работы: на месте работодателя,Уровень дохода не указан,Полная занятость,"Big Data, MLflow, Data Engineering, ML"
https://hh.ru/vacancy/80321813?query=ML&hhtmFrom=vacancy_search_list,3–6 лет,,Уровень дохода не указан,Полная занятость,
https://hh.ru/vacancy/80321813?query=ML&hhtmFrom=vacancy_search_list,3–6 лет,,Уровень дохода не указан,Полная занятость,
https://hh.ru/vacancy/117833070?query=ML&hhtmFrom=vacancy_search_list,3–6 лет,,Уровень дохода не указан,Полная занятость,"Python, Git, Linux, Bash"
https://hh.ru/vacancy/117833093?query=ML&hhtmFrom=vacancy_search_list,3–6 лет,,Уровень дохода не указан,Полная занятость,"Python, Git, Linux, Bash"
https://hh.ru/vacancy/118570341?query=ML&hhtmFrom=vacancy_search_list,3–6 лет,,Уровень дохода не указан,Полная занятость,
https://hh.ru/vacancy/119090049?query=ML&hhtmFrom=vacancy_search_list,более 6 лет,,Уровень дохода не указан,Полная занятостьВозможно временное оформление,"Python, State-of-the-Art in Machine Learning, PyTorch, Clickhouse, MySQL, MongoDB, Математическая статистика"
https://hh.ru/vacancy/120089407?query=ML&hhtmFrom=vacancy_search_list,1–3 года,Формат работы: на месте работодателя,Уровень дохода не указан,Полная занятость,"SQL, Apache Airflow, Python, Продуктовые метрики, Big Data, ML"
https://hh.ru/vacancy/118566328?query=ML&hhtmFrom=vacancy_search_list,1–3 года,Формат работы: на месте работодателя,от 120 000 до 175 000 ₽ за месяц на руки,Полная занятость,"Python, Django Framework, Flask, FastAPI, TCP/IP, HTTP, HTTPS, SSL, ООП, SOLID, Linux, Git"
https://hh.ru/vacancy/120070153?query=ML&hhtmFrom=vacancy_search_list,1–3 года,Формат работы: гибрид,Уровень дохода не указан,Полная занятость,"SQL, MS SQL Server, Apache Airflow, Python, Продуктовые метрики, Power BI, Big Data, MLflow"
